band_name,song_name,video_id
Ayreon,Day Twelve: Trauma,TSKtHnt8lKI
Between the Buried and Me,Monochrome,oBAqPFBLn3k
Black Crown Initiate,Again,74FSRrRutss
Daydream XI,The Death of Art,h48pOT48lwY
The Devin Townsend Band,Deadhead,tJz-L3SbrLE
Epica,Semplance of Liberty,XCXRaXo0b2E
Gojira,Of Blood and Salt,wWDdDm-Vu8Y
Haken,The Architect,KPpjqc3yJEM
Leprous,Slave,2GWPzBXNY2g
Ne Obliviscaris,Libera (Part I) Saturnine Spheres,-9kERB40e7s
Novena,Corazon,vfnG2oMNhms
The Ocean,Mesopelagic: Into the Uncanny,hrpf51-WfH8
Opeth,Ghost of Perdition,DBykpSXsSE
Ostura,Infernal Hymn,Kxdh-P06r8s
Persefone,Katabasis,rSlYrbibiD4
Protest the Hero,Turn Soonest to the Sea,8Vo-bBA3-yY
Tesseract,War of Being,UnkpPIupQxM
Xanthochroid,Of Aching Empty Pain,OI_vGXRFRLg
Gojira,Vacuity,wM8LDVIiwhA
Ne Obliviscaris,Suspyre,ziJUuC4y8s4
