band_name,album_name,song_name,release_year,duration_seconds,video_id,bit_depth,bitrate,channels,sample_rate
A Job for a Cowboy,Ruination,Entombment of a Machine,2013,247.52,nOJHbpijw3o,16,1536000,2,48000
Abbath,Abbath,Nebular Ravens Winter,2016,256.6965986,QJyTW1-Piwo,16,1411200,2,44100
Abbath,Abbath,Ashes Of The Damned,2016,238.097415,K5pMoSECagE,16,1411200,2,44100
Abbath,Outstrider,Harvest Pyre,2019,274.0883447,T_qa-wNbC4w,16,1411200,2,44100
Abbath,Abbath,Winter Bane,2016,409.8786395,yLdJSQDmVXw,16,1411200,2,44100
After The Burial,Dig Deep,Lost In The Static,2016,271.2787302,hUNAX1UYeAE,16,1411200,2,44100
Alcest,Kodama,Eclosion,2016,535.3360625,V-x87xt6rzU,16,1536000,2,48000
Amon Amarth,Surtur Rising,Destroyer of the Universe,2011,224.1886621,5aaOqUYG8Tw,16,1411200,2,44100
Amon Amarth,Twilight of the Thunder God,Live For The Kill,2008,249.7538322,Bh_5ofa__pY,16,1411200,2,44100
Amon Amarth,Surtur Rising,Aerials,2011,219.8929705,VnoGQMJKDr4,16,1411200,2,44100
Amon Amarth,Twilight of the Thunder God,Twilight Of The Thunder God,2008,265.5898413,edBYB1VCV0k,16,1411200,2,44100
Amon Amarth,Surtur Rising,Slaves of Fear,2011,265.1254422,MyVHiHxPdjU,16,1411200,2,44100
Amon Amarth,Twilight of the Thunder God,Free Will Sacrifice,2008,248.8018141,OjIYTgannxc,16,1411200,2,44100
Be'lakor,Of Breath and Bone,Abeyance,2012,484.7862292,rYBgWgjjgxQ,16,1536000,2,48000
Be'lakor,Stone's Reach,Venator,2009,517.9559375,ainbICPRV8Y,16,1536000,2,48000
Behemoth,I Loved You at Your Darkest,Ecclesia Diabolica Catholica,2018,324.3363265,HKWqzjQAv14,16,1411200,2,44100
Behemoth,I Loved You at Your Darkest,Bartzabel,2018,320.9462132,Dhfy9TPga-c,16,1411200,2,44100
Behemoth,The Satanist,Blow Your Trumpets Gabriel,2013,297.9352381,Czx-OIyrQwQ,16,1411200,2,44100
Born of Osiris,Tomorrow We Die Alive,Machine,2013,264.8235828,Y4OJzu97kEw,16,1411200,2,44100
Born of Osiris,Angel or Alien,White Nile,2021,229.0300417,4ShzP_M7W-k,16,1536000,2,48000
Born of Osiris,Tomorrow We Die Alive,Divergency,2013,246.5494785,L9ABuasa1Cc,16,1411200,2,44100
Cannibal Corpse,A Skeletal Domain,High Velocity Impact Spatter,2014,246.9442177,B3F10hXdmQY,16,1411200,2,44100
Cattle Decapitation,Monolith of Inhumanity,"A Living, Breathing Piece of Defecating Meat",2012,177.9809583,oWeTeFn0LhM,16,1536000,2,48000
Cattle Decapitation,Death Atlas,Bring Back the Plague,2019,297.7262585,lXGSLKWeVwE,16,1411200,2,44100
Cattle Decapitation,The Anthropocene Extinction,Manufactured Extinct,2015,281.0543311,u8t8g8lU4ms,16,1411200,2,44100
Cattle Decapitation,Monolith of Inhumanity,Forced Gender Reassignment,2012,233.7320635,tn4QjKcik8U,16,1411200,2,44100
Children of Bodom,Hexed,Under Grass And Clover,2019,213.0663039,1gpfzCxiQ-A,16,1411200,2,44100
Children of Bodom,Are You Dead Yet?,Living Dead Beat,2005,318.1365986,gG3JZ5vGJsk,16,1411200,2,44100
Children of Bodom,Hate Crew Deathroll,Needled 24 _ 7,2003,248.6392744,zVZ9VSm6VAk,16,1411200,2,44100
Children Of Bodom,Are You Dead Yet?,Are You Dead Yet,2005,236.2630385,aNJXS9X0yY0,16,1411200,2,44100
Children of Bodom,Hate Crew Deathroll,Sixpounder,2003,213.3449433,09KScSe4hIc,16,1411200,2,44100
Children Of Bodom,Follow the Reaper,Everytime I Die,2000,241.650068,5cEK1OLhUKQ,16,1411200,2,44100
Children Of Bodom,Are You Dead Yet?,In Your Face,2005,236.2630385,5SgN5lvWZwQ,16,1411200,2,44100
Dark Funeral,Where Shadows Forever Reign,Nail Them To The Cross,2016,283.1905669,plh22lTpnjY,16,1411200,2,44100
Dark Tranquillity,Fiction,Misery's Crown,2007,256.1161042,NKjzDU7V7es,16,1536000,2,48000
Dark Tranquillity,Lost to Apathy,Lost to Apathy,2004,240.8838095,GZqfH1LQEOQ,16,1411200,2,44100
Dark Tranquillity,Atoma,Atoma,2016,262.8266667,C_voh9WFbsM,16,1411200,2,44100
Death,Leprosy,Pull the Plug,1988,266.8204989,_duhhVa-dk8,16,1411200,2,44100
Death,Individual Thought Patterns,The Philosopher,1993,216.3867708,8256VJ4hkJU,16,1536000,2,48000
Decapitated,Anticult,Kill The Cult,2017,296.1705215,kQUTQTNChbE,16,1411200,2,44100
